dataYear,district,lawCode,lawNameCandidates,category,designatedSiteRecords,matchedReceiptRegionNames,matchingStatus,spatialGeographyConfirmed
2025,중구,2611012100,['보수동2가'],보행노인,1,['보수동2가'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,중구,2611014100,['남포동6가'],보행노인,1,['남포동6가'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,서구,2614010400,['서대신동1가'],보행노인,1,['서대신동1가'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,서구,2614012200,['충무동3가'],보행노인,1,['충무동3가'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,동구,2617010100,['초량동'],보행노인,1,['초량동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,동구,2617010200,['수정동'],보행노인,1,['수정동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,동구,2617010400,['범일동'],보행노인,1,['범일동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,영도구,2620011700,['봉래동3가'],보행노인,1,['봉래동3가'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,영도구,2620011900,['봉래동5가'],보행노인,1,['봉래동5가'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,부산진구,2623010100,['양정동'],보행노인,1,['양정동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,부산진구,2623010300,['부전동'],보행노인,7,['부전동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,부산진구,2623010400,['범천동'],보행노인,2,['범천동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,동래구,2626010600,['수안동'],보행노인,1,['수안동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,동래구,2626010800,['온천동'],보행노인,2,['온천동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,남구,2629010600,['대연동'],보행노인,4,['대연동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,남구,2629010700,['용호동'],보행노인,2,['용호동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,북구,2632010200,['화명동'],보행노인,1,['화명동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,북구,2632010200,['화명동'],보행어린이,1,['화명동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,북구,2632010400,['덕천동'],보행노인,1,['덕천동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,해운대구,2635010400,['재송동'],보행노인,1,['재송동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,해운대구,2635010500,['우동'],보행노인,1,['우동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,사하구,2638010300,['하단동'],보행노인,1,['하단동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,사하구,2638010400,['신평동'],보행노인,1,['신평동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,금정구,2641010800,['장전동'],보행어린이,1,['장전동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,금정구,2641010900,['부곡동'],보행노인,3,['부곡동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,금정구,2641011000,['서동'],보행노인,4,['서동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,연제구,2647010100,['거제동'],보행노인,1,['거제동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,연제구,2647010200,['연산동'],보행노인,1,['연산동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,수영구,2650010200,['수영동'],보행노인,1,['수영동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,수영구,2650010400,['광안동'],보행노인,2,['광안동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,수영구,2650010500,['남천동'],보행노인,1,['남천동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,사상구,2653010500,['감전동'],보행노인,1,['감전동'],구군·공식 법정동명과 접수 지역명 일치; 개별119사건 연계 아님,False
2025,기장군,2671025026,['대라리'],보행노인,1,[],접수 지역명 정확대응 미확정·구군만 연결,False
2025,기장군,2671025622,['매학리'],보행어린이,1,[],접수 지역명 정확대응 미확정·구군만 연결,False
