district,rawDong,candidateCode,candidateCount,originalLinkStatus,livingName,available,geographyConfirmed,joiningRule
강서구,강동동,2644053000,1,both_hypotheses_same_unique_code,강서구 강동동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,구랑동,2644056000,1,legal_hypothesis_unique_only,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,녹산동,2644056000,1,both_hypotheses_same_unique_code,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,눌차동,2644058000,1,legal_hypothesis_unique_only,강서구 가덕도동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,대저1동,2644051000,1,both_hypotheses_same_unique_code,강서구 대저1동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,대저2동,2644052000,1,both_hypotheses_same_unique_code,강서구 대저2동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,대항동,2644058000,1,legal_hypothesis_unique_only,강서구 가덕도동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,동선동,2644058000,1,legal_hypothesis_unique_only,강서구 가덕도동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,명지동,2644053500,2,multiple_or_conflicting_codes,강서구 명지1동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,명지동,2644054500,2,multiple_or_conflicting_codes,강서구 명지2동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,미음동,2644056000,1,legal_hypothesis_unique_only,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,범방동,2644056000,1,legal_hypothesis_unique_only,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,봉림동,2644055000,1,legal_hypothesis_unique_only,강서구 가락동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,생곡동,2644056000,1,legal_hypothesis_unique_only,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,성북동,2644058000,1,legal_hypothesis_unique_only,강서구 가덕도동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,송정동,2644056000,1,legal_hypothesis_unique_only,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,식만동,2644055000,1,legal_hypothesis_unique_only,강서구 가락동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,신호동,2644056000,1,legal_hypothesis_unique_only,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,죽동동,2644055000,1,legal_hypothesis_unique_only,강서구 가락동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,죽림동,2644055000,1,legal_hypothesis_unique_only,강서구 가락동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,지사동,2644056000,1,legal_hypothesis_unique_only,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,천성동,2644058000,1,legal_hypothesis_unique_only,강서구 가덕도동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
강서구,화전동,2644056000,1,legal_hypothesis_unique_only,강서구 녹산동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
금정구,구서동,2641068000,2,multiple_or_conflicting_codes,금정구 구서1동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
금정구,구서동,2641069000,2,multiple_or_conflicting_codes,금정구 구서2동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
금정구,금사동,2641055500,1,legal_hypothesis_unique_only,금정구 금사회동동,True,False,기존 후보코드에 생활인구를 개별 연결. 후보 합산·119 사건 배분 없음
